Trading Window,Accuracy,Recall,Precision,Specificity,F-Score,Brier Score,AUC
1,54.48818897637795,0.5457142857142857,0.5950155763239875,0.543859649122807,0.5692995529061102,0.24965614012488632,0.567609022556391
5,54.48818897637795,0.5971428571428572,0.5854341736694678,0.4807017543859649,0.5912305516265912,0.2496608511141584,0.5660802005012532
10,51.26182965299685,0.5257142857142857,0.5626911314984709,0.4964788732394366,0.5435745937961596,0.24909015745407664,0.5392253521126761
20,52.05696202531646,0.6742857142857143,0.5552941176470588,0.32978723404255317,0.6090322580645161,0.2500587400341587,0.4881155015197569
