Date,N_Stocks,Allocation
2024-08-31,3,"OrderedDict({'CS.PA': 0.61331, 'ENGI.PA': 0.34999, 'SAN.PA': 0.0367})"
2024-09-30,8,"OrderedDict({'ERF.PA': 0.14379, 'FR.PA': 0.02, 'MC.PA': 0.02, 'MT.AS': 0.04621, 'RI.PA': 0.02, 'RMS.PA': 0.25, 'SAF.PA': 0.25, 'URW.PA': 0.25})"
2024-12-31,3,"OrderedDict({'RMS.PA': 0.46611, 'RNO.PA': 0.51389, 'WLN.PA': 0.02})"
2025-01-31,17,"OrderedDict({'AI.PA': 0.02, 'AIR.PA': 0.02, 'BNP.PA': 0.02, 'CAP.PA': 0.02, 'CS.PA': 0.02, 'DSY.PA': 0.02, 'EL.PA': 0.25, 'EN.PA': 0.02, 'FR.PA': 0.02, 'GLE.PA': 0.09485, 'HO.PA': 0.02, 'ORA.PA': 0.02, 'RMS.PA': 0.02, 'RNO.PA': 0.10672, 'SAF.PA': 0.1435, 'SAN.PA': 0.16131, 'URW.PA': 0.02362})"
2025-02-28,6,"OrderedDict({'BNP.PA': 0.02, 'EN.PA': 0.02, 'ENGI.PA': 0.30148, 'GLE.PA': 0.33333, 'HO.PA': 0.19221, 'ORA.PA': 0.13297})"
2025-03-31,5,"OrderedDict({'EN.PA': 0.02, 'ENGI.PA': 0.3806, 'HO.PA': 0.31527, 'ORA.PA': 0.26413, 'VIE.PA': 0.02})"
2025-04-30,9,"OrderedDict({'CS.PA': 0.15, 'DG.PA': 0.02, 'EN.PA': 0.02, 'ENGI.PA': 0.25, 'ERF.PA': 0.02, 'GLE.PA': 0.25, 'OR.PA': 0.02, 'ORA.PA': 0.25, 'VIE.PA': 0.02})"
2025-05-31,3,"OrderedDict({'ENGI.PA': 0.66667, 'ERF.PA': 0.13584, 'URW.PA': 0.19749})"
2025-06-30,6,"OrderedDict({'AIR.PA': 0.11087, 'ENGI.PA': 0.33333, 'ERF.PA': 0.20647, 'LR.PA': 0.11832, 'SAF.PA': 0.21101, 'STMPA.PA': 0.02})"
2025-07-31,9,"OrderedDict({'EL.PA': 0.10331, 'ERF.PA': 0.11001, 'GLE.PA': 0.25, 'KER.PA': 0.02, 'LR.PA': 0.15273, 'OR.PA': 0.03197, 'SAF.PA': 0.1777, 'URW.PA': 0.13427, 'VIV.PA': 0.02})"
2025-08-31,4,"{'ATO.PA': 0.25, 'KER.PA': 0.25, 'MC.PA': 0.25, 'OR.PA': 0.25}"
2025-09-30,6,"OrderedDict({'AIR.PA': 0.22461, 'ATO.PA': 0.0425, 'HO.PA': 0.32612, 'KER.PA': 0.08072, 'LR.PA': 0.15437, 'SAF.PA': 0.17168})"
2025-10-31,7,"OrderedDict({'AIR.PA': 0.26765, 'CAP.PA': 0.02, 'EL.PA': 0.18675, 'ENGI.PA': 0.28571, 'FR.PA': 0.02, 'LR.PA': 0.19989, 'MC.PA': 0.02})"
2025-11-30,6,"OrderedDict({'EN.PA': 0.27333, 'ENGI.PA': 0.33333, 'GLE.PA': 0.33333, 'MC.PA': 0.02, 'MT.AS': 0.02, 'TTE.PA': 0.02})"
2025-12-31,10,"OrderedDict({'ALO.PA': 0.02, 'BNP.PA': 0.02, 'CA.PA': 0.03276, 'CS.PA': 0.02, 'EN.PA': 0.25, 'ENGI.PA': 0.25, 'ERF.PA': 0.04441, 'GLE.PA': 0.25, 'MC.PA': 0.02, 'MT.AS': 0.09283})"
