Date,Strategy,Benchmark
2017-11-01,100.40958426472335,100.19988043373912
2017-11-02,99.15069040670863,100.13101182903905
2017-11-03,101.17545638880723,100.26675271841117
2017-11-06,101.43295733759918,100.07195624634342
2017-11-07,101.03010574580988,99.58842979048933
2017-11-08,101.02081985723476,99.42107606440679
2017-11-09,98.16699368261966,98.26394686843045
2017-11-10,98.35381583435658,97.7727900338026
2017-11-13,97.85091247027465,97.06248162276509
2017-11-14,98.07354846088039,96.58913196278719
2017-11-15,98.00686550749076,96.32874085086533
2017-11-16,99.12108952436387,96.96727046622858
2017-11-17,99.35736209400355,96.65436282876954
2017-11-20,100.60445730317296,97.04104558193087
2017-11-21,101.56497443043125,97.50803363541948
2017-11-22,100.1089472308496,97.26472215040404
2017-11-23,100.30583552970559,97.75134512043493
2017-11-24,100.40610695472854,97.94977045868697
2017-11-27,99.39884307323344,97.39791662267375
2017-11-28,99.11908972108286,97.95013423255875
2017-11-29,97.13079380348881,98.08768511875627
2017-11-30,96.8370516675576,97.62869121791321
2018-04-03,95.99296580101178,97.34189287453519
2018-04-04,94.88883405517096,97.14690542646399
2018-04-05,96.71271733764942,99.69508213830828
2018-04-06,96.84397936673709,99.34687972347105
2018-04-09,96.49952807233406,99.44417971470907
2018-04-10,96.78018395600917,100.2787068036815
2018-04-11,95.72734884834084,99.71907732909332
2018-04-12,96.15593071008942,100.31007306614563
2018-04-13,96.37979998924648,100.41965202660126
2018-04-16,96.1896264203129,100.38073018503178
2018-04-17,96.44204159434264,101.14743234411117
2018-04-18,97.11099344376737,101.65056564477864
2018-04-19,96.72586146437757,101.86727884229191
2018-04-20,96.65969491307064,102.26763228116144
2018-04-23,96.87902473537217,102.7535694897015
2018-04-24,96.61241018683326,102.85956900608767
2018-04-25,94.58677149822476,102.27650708836451
2018-04-26,95.2403056261518,103.03754486945773
2018-04-27,95.38474066435418,103.59698061124834
2018-04-30,95.15010881891202,104.30190045864468
2020-01-02,96.68760014563178,105.4087656270775
2020-01-03,96.49313626444419,105.45517856867936
2020-01-06,95.3564023169438,104.9218045878039
2020-01-07,96.1997725376461,104.90017418054856
2020-01-08,96.78749797872949,105.2255674082437
2020-01-09,97.33576373548114,105.4270820412559
