,Strategy,Benchmark
2017-10-02,100.19354180977987,100.6026033472111
2017-10-03,101.11989005698858,101.03898020949822
2017-10-04,101.53228248767778,101.11957873749262
2017-10-05,101.51368750004065,101.12462893308292
2017-10-06,101.13643363796862,100.81179576942613
2017-10-09,101.6070320136305,100.92445659573616
2017-10-10,101.8103532882066,100.95092621878156
2017-10-11,102.22530311223316,101.08176825933202
2017-10-12,101.87542392965968,101.18722799440984
2017-10-13,101.94568230921126,101.17929624969688
2017-10-16,102.19917448419451,101.26610394311108
2017-10-17,101.84916969501974,101.22905476643255
2017-10-18,102.43317193859625,101.63977488651234
2017-10-19,101.645556127819,101.06835515775204
2017-10-20,101.65259542439328,101.1027132983702
2017-10-23,101.87639611412638,101.4750170519182
2017-10-24,101.67196728065792,101.343549496547
2017-10-25,104.33780046434173,101.29919006697736
2017-10-26,104.77082274831048,102.75380028410142
2017-10-27,105.46639722927544,103.303566749348
2017-10-30,105.4171479788276,103.42320375315398
2017-10-31,105.30073976340825,103.53753976911392
2017-11-01,106.3727321739454,103.87811850429038
2017-11-02,105.07040106035636,103.69741241779256
2017-11-03,107.3519723574582,104.0287292040256
2017-11-06,107.86504445833933,103.8462859070396
2017-11-07,107.31964382393376,103.31777550714052
2017-11-08,107.4604083975526,103.19282194606924
2017-11-09,104.33406956355826,101.93385632050204
2017-11-10,104.58349229338782,101.62778913674536
2017-11-13,104.00911473513985,100.92883430740795
2017-11-14,104.2201852962656,100.92986189095912
2017-11-15,103.64805319023048,100.52588181676114
2017-11-16,105.0173803278554,101.39997777594547
2017-11-17,105.49650694814056,101.16226011527836
2017-11-20,106.9849063215792,101.70139847827429
2017-11-21,108.03469811456311,102.07329966891126
2017-11-22,106.26147392544738,101.74508655806088
2017-11-23,106.39987952138996,102.24607494551556
2017-11-24,106.59629462058892,102.39456093266372
2017-11-27,105.41327510279103,101.95611294138584
2017-11-28,104.8527129092552,102.42659274498452
2017-11-29,102.29569428124825,102.30681380751716
2017-11-30,101.98152300615412,102.08295710548472
2017-12-01,100.9351317486382,101.06040197217226
2019-04-01,101.22241739428812,102.51174115703073
2019-04-02,101.8661460316736,102.92158981225744
2019-04-03,102.54822606253984,104.22075812325367
2019-04-04,102.30498213637686,104.0707811282078
2019-04-05,102.95664065091374,104.18282121773224
2019-04-08,102.31616704001534,103.94778481080044
2019-04-09,101.88613897255723,103.1387609590179
2019-04-10,102.17818304690134,103.37231722888744
2019-04-11,102.95887497056091,104.35412411936323
2019-04-12,102.39768435147828,105.25466631529612
2019-04-15,102.65933604317594,105.52910340911588
2019-04-16,102.98341740842328,106.11196481279072
2019-04-17,103.14955822267756,106.81594815343637
2019-04-18,102.15420478678276,107.14022242069775
2019-04-23,102.73621165055108,107.19621903886238
2019-04-24,102.66938011381087,107.31705006229896
2019-04-25,102.47165819209026,106.88565212909214
2019-04-26,102.69764018846364,107.33140860451238
2019-04-29,102.7795356606506,107.73637390286194
2019-04-30,102.08041015395663,107.5522189354803
2019-12-02,99.23169104402226,105.59871107907254
2019-12-03,98.41606914505913,104.81761015799972
2019-12-04,99.80724711663814,105.91416471117977
2019-12-05,100.26090096142222,106.17723621916907
2019-12-06,101.73063925916884,107.4352633157291
2019-12-09,101.45983308698534,107.17568674765973
2019-12-10,101.73325532623248,106.91999407879648
2019-12-11,102.108672748954,106.92780956482582
2019-12-12,102.60956193821276,107.43138339163758
2019-12-13,103.82202332359202,108.0436866715838
2019-12-16,104.71976611747536,109.35039962605455
2019-12-17,103.83633826003056,109.05037824481212
2019-12-18,103.3928099596466,108.8552583255974
2019-12-19,103.4743107714056,109.03977889030044
2019-12-20,104.40255764742508,109.7116041172712
2019-12-23,104.54669851922382,109.7639327319378
2019-12-24,104.628878826321,109.84307303976142
2019-12-25,104.628878826321,109.84307303976142
2019-12-27,105.14936689312448,109.75453617721496
2019-12-30,103.67444897034662,108.87732741225476
2019-12-31,103.85642101463483,108.60432250792768
2020-01-02,105.7206111274302,109.78635438322084
2020-01-03,105.58086772987426,109.58620989784976
2020-01-06,104.1156306663476,109.03894669003074
2020-01-07,104.91120422686744,109.6020333567475
2020-01-08,104.96828850836312,110.05649704780453
2020-01-09,105.82395933621942,110.23276661090333
2020-01-10,105.14964889101228,110.0847518496806
2020-01-13,105.32031875685036,110.19692335435592
2020-01-14,105.15240496303484,110.42231531505688
2020-01-15,104.71898940146691,110.2751940659898
2020-01-16,105.4379687394526,110.19404057988324
2020-01-17,106.19230493575962,111.04552733840494
2020-01-20,105.93855142122555,111.09426023853716
2020-01-21,105.63820809651835,110.59516719480033
2020-01-22,105.72841416440524,110.29870953572184
2020-01-23,106.83713340615824,109.73441056871522
2020-01-24,108.18443739428876,110.71838658823071
2020-01-27,104.82023105860856,108.24580335266236
2020-01-28,106.67279630583546,109.2285147326754
2020-01-29,106.81474975330316,109.8061599802434
2020-01-30,106.05283128316212,108.55690191524702
2020-01-31,104.5292322439416,107.41189950462562
2021-03-01,106.19167509373216,108.79377384555396
2021-03-02,107.09676103850757,109.01582161443685
2021-03-03,108.50743383986176,109.67170481231533
2021-03-04,108.11931700307464,109.41366768117904
2021-03-05,107.3392835761756,108.39933235478274
2021-03-08,111.20437324826156,110.81897582466442
2021-03-09,112.08617832509766,111.48452858516605
2021-03-10,112.87197251037564,112.24640544290683
2021-03-11,113.1624049379922,113.04663037604624
2021-03-12,114.33287963719984,113.23563425854996
2021-03-15,113.97685512008763,113.1302805863294
2021-03-16,113.24487395125168,113.42923312148014
2021-03-17,114.48029005337898,113.44860111245065
